STATE,SALES_MONTH,STATE_PRICE
Pennsylvania,2025-04-01,6.59354546
Pennsylvania,2025-10-01,6.59958228
Michigan,2024-09-01,6.60170491
California,2023-08-01,6.60477475
Arkansas,2025-09-01,6.60845526
Pennsylvania,2024-12-01,6.61050714
Florida,2024-05-01,6.62396706
Ohio,2023-12-01,6.62529397
California,2023-12-01,6.62941996
Arkansas,2024-09-01,6.62977593
Ontario,2025-05-01,6.63126925
Nova Scotia,2024-11-01,6.63170455
Michigan,2023-04-01,6.63586166
Florida,2024-03-01,6.63597767
Arizona,2024-05-01,6.64347442
California,2023-07-01,6.64810191
British Columbia,2025-11-01,6.65487943
Oregon,2022-11-01,6.65654272
Oregon,2023-10-01,6.66284879
California,2026-01-01,6.66744545
Hawaii,2025-11-01,6.66767661
Pennsylvania,2025-06-01,6.66888763
Arkansas,2024-06-01,6.66922283
Arkansas,2023-10-01,6.67103461
New Mexico,2025-03-01,6.67118229
California,2026-02-01,6.67136748
Michigan,2024-08-01,6.67335862
New Mexico,2024-04-01,6.67382390
California,2023-06-01,6.67793123
New Mexico,2024-12-01,6.68050473
Oregon,2023-03-01,6.68602895
California,2025-04-01,6.69084637
Colorado,2025-10-01,6.69293046
Arkansas,2025-07-01,6.69453021
Arizona,2024-04-01,6.69613770
Arkansas,2025-03-01,6.69669085
Arizona,2024-01-01,6.69799813
Pennsylvania,2025-07-01,6.69958277
Pennsylvania,2025-12-01,6.70014059
South Dakota,2025-09-01,6.70931599
British Columbia,2025-06-01,6.70983962
Colorado,2023-11-01,6.71097973
California,2025-11-01,6.71190374
Arizona,2024-03-01,6.71263215
Colorado,2025-09-01,6.71642705
Arkansas,2026-02-01,6.71761086
Arkansas,2026-01-01,6.72092866
Michigan,2024-06-01,6.72693563
Ohio,2024-04-01,6.72971158
Arkansas,2024-08-01,6.73807565
Pennsylvania,2024-09-01,6.73890401
Ohio,2024-02-01,6.73991570
Arkansas,2024-07-01,6.74042090
California,2025-10-01,6.74211094
Colorado,2023-08-01,6.74850829
