STATE,SALES_MONTH,COUNT(DISTINCT( MASTER_ID))
South Carolina,2023-08-01,1
Alberta,2023-08-01,734
Minnesota,2023-08-01,13
Hawaii,2023-08-01,23
Michigan,2023-08-01,745
Arizona,2023-08-01,169
Oregon,2023-08-01,750
New Jersey,2023-08-01,73
Puerto Rico,2023-08-01,282
Illinois,2023-08-01,152
Virginia,2023-08-01,22
Manitoba,2023-08-01,101
Montana,2023-08-01,370
Ontario,2023-08-01,1660
Maine,2023-08-01,228
Maryland,2023-08-01,102
Rhode Island,2023-08-01,7
Yukon,2023-08-01,6
Florida,2023-08-01,618
Louisiana,2023-08-01,11
Colorado,2023-08-01,738
Massachusetts,2023-08-01,349
Arkansas,2023-08-01,40
New Brunswick,2023-08-01,34
New Hampshire,2023-08-01,7
Iowa,2023-08-01,5
New Mexico,2023-08-01,549
Oklahoma,2023-08-01,1548
Delaware,2023-08-01,12
Nevada,2023-08-01,113
North Dakota,2023-08-01,8
South Dakota,2023-08-01,57
Alaska,2023-08-01,164
Newfoundland and Labrador,2023-08-01,41
District of Columbia,2023-08-01,20
Nova Scotia,2023-08-01,12
Pennsylvania,2023-08-01,183
Utah,2023-08-01,18
New York,2023-08-01,118
Georgia,2023-08-01,4
Georgia,2023-09-01,4
Michigan,2023-09-01,755
South Carolina,2023-09-01,1
Arkansas,2023-09-01,40
Alberta,2023-09-01,731
California,2023-09-01,1660
Montana,2023-09-01,373
Yukon,2023-09-01,6
Northern Mariana Islands,2023-09-01,1
Puerto Rico,2023-09-01,282
Oregon,2023-09-01,746
Massachusetts,2023-09-01,352
Rhode Island,2023-09-01,7
South Dakota,2023-09-01,59
Florida,2023-09-01,619
Delaware,2023-09-01,12
Louisiana,2023-09-01,13
Minnesota,2023-09-01,14
Washington,2023-09-01,470
Ohio,2023-09-01,111
Maine,2023-09-01,227
New Mexico,2023-09-01,568
Nova Scotia,2023-09-01,12
Arizona,2023-09-01,173
District of Columbia,2023-09-01,20
Oklahoma,2023-09-01,1527
Utah,2023-09-01,18
New York,2023-09-01,120
Maryland,2023-09-01,102
Iowa,2023-09-01,5
Virginia,2023-09-01,22
Texas,2023-09-01,9
Hawaii,2023-09-01,22
Alaska,2023-09-01,165
West Virginia,2023-09-01,57
British Columbia,2023-09-01,427
North Dakota,2023-09-01,8
New Jersey,2023-09-01,76
Illinois,2023-09-01,161
Pennsylvania,2023-09-01,183
Vermont,2023-09-01,63
Nunavut,2023-09-01,2
Mississippi,2023-09-01,121
Ontario,2023-09-01,1665
New Brunswick,2023-09-01,34
Manitoba,2023-09-01,101
Missouri,2023-09-01,202
New Hampshire,2023-09-01,7
