STATE,SALES_MONTH,TOTAL_DOLLARS
Texas,2025-09-01,646608.78
Yukon,2024-07-01,617498.83
Rhode Island,2022-12-01,4198128.43
Iowa,2024-10-01,1142954.09
Kentucky,2026-02-01,552149.96
Iowa,2025-07-01,1252675.11
Texas,2025-02-01,224618.30
Northern Mariana Islands,2024-01-01,0.00
Nunavut,2025-12-01,526653.64
South Carolina,2023-12-01,0.00
North Carolina,2026-01-01,4219806.86
Florida,2025-06-01,171894246.59
Florida,2026-01-01,165213453.08
Florida,2022-12-01,134727040.18
Washington,2023-01-01,74000412.41
California,2023-12-01,385461746.41
Montana,2023-06-01,27163625.99
Michigan,2025-03-01,278721477.33
New York,2025-06-01,150645518.72
California,2024-01-01,360705017.57
British Columbia,2024-12-01,61987292.72
Oregon,2024-10-01,81364744.44
Oregon,2025-09-01,76098107.46
Missouri,2026-02-01,120987292.13
Maryland,2025-06-01,98526641.21
New Jersey,2025-01-01,95791470.38
Pennsylvania,2025-03-01,92946536.14
Oregon,2022-10-01,77005789.19
British Columbia,2023-04-01,56147774.84
Arkansas,2023-06-01,22416795.84
Alaska,2026-01-01,16033310.54
British Columbia,2023-05-01,58818138.84
Puerto Rico,2025-10-01,11546782.47
Arizona,2024-06-01,101732283.19
Alaska,2023-06-01,19452958.70
Vermont,2024-11-01,11439396.76
Alaska,2023-05-01,19999617.38
Nevada,2024-06-01,70342586.33
Maine,2023-02-01,21923001.86
District of Columbia,2026-02-01,6338222.97
Vermont,2026-03-01,12645903.03
Virginia,2023-11-01,13682590.13
Saskatchewan,2023-04-01,9272616.92
New Brunswick,2025-08-01,2170342.21
Minnesota,2025-08-01,23213911.35
Alberta,2023-02-01,60331449.39
New Jersey,2025-12-01,108203072.77
Oregon,2025-10-01,79116625.13
British Columbia,2024-05-01,59752886.94
New Mexico,2024-03-01,53298149.13
Nevada,2024-05-01,74286682.49
Ontario,2023-02-01,157685688.35
Illinois,2023-03-01,133649046.98
New Mexico,2025-05-01,50569729.64
New Mexico,2023-04-01,46517313.06
Minnesota,2023-04-01,5520375.80
Vermont,2024-06-01,11591649.66
Iowa,2023-12-01,1373185.61
Hawaii,2023-04-01,3062573.23
Newfoundland and Labrador,2023-03-01,5528769.12
Saskatchewan,2023-03-01,9581528.23
Ohio,2024-05-01,42404741.43
West Virginia,2025-05-01,8373024.49
Louisiana,2025-11-01,16428846.10
Utah,2024-09-01,13886169.86
Hawaii,2025-01-01,2899299.36
West Virginia,2025-03-01,8570839.70
District of Columbia,2024-05-01,4084129.86
New Hampshire,2025-10-01,1011745.84
North Dakota,2024-05-01,1554664.49
Yukon,2022-12-01,1093352.57
New Hampshire,2025-01-01,849120.02
District of Columbia,2023-04-01,4821725.55
Rhode Island,2023-01-01,4166354.07
Connecticut,2022-11-01,17287108.06
Yukon,2025-06-01,611443.57
Yukon,2023-04-01,1087729.66
Texas,2026-02-01,456294.47
Iowa,2023-01-01,1218138.15
New Hampshire,2025-04-01,813893.04
North Dakota,2025-12-01,1704036.81
Utah,2025-05-01,15285143.56
Yukon,2026-02-01,497649.11
North Carolina,2025-03-01,4970427.91
Florida,2024-06-01,157578026.15
Oregon,2023-11-01,79143927.01
New Mexico,2025-08-01,49576569.89
California,2024-03-01,376821390.65
California,2025-07-01,344199487.53
New York,2023-12-01,38661411.28
Washington,2023-11-01,81765163.70
Washington,2025-04-01,96483135.48
Missouri,2025-04-01,127037701.67
Ontario,2025-11-01,172345911.62
Oklahoma,2022-09-01,156327406.12
Colorado,2024-02-01,116373325.00
Illinois,2025-02-01,124090165.34
Pennsylvania,2025-12-01,96011136.16
Missouri,2023-07-01,124178276.84
Washington,2024-02-01,85594999.24
Ohio,2023-07-01,42345855.71
New York,2024-09-01,94198714.47
Montana,2024-08-01,30813712.99
Massachusetts,2023-09-01,154318343.85
Maine,2024-11-01,41141458.37
Minnesota,2025-04-01,19344615.07
New York,2026-01-01,147454164.87
Alberta,2022-11-01,63358950.70
Illinois,2025-01-01,130408023.73
Montana,2025-11-01,27834733.18
Missouri,2023-01-01,45255301.76
Manitoba,2023-09-01,13672057.32
Ohio,2024-11-01,80023092.63
Puerto Rico,2023-06-01,63226658.53
Montana,2022-12-01,26478631.49
West Virginia,2022-11-01,3268362.08
West Virginia,2023-11-01,6583884.25
New York,2023-10-01,26224451.26
South Dakota,2026-01-01,5910914.92
Mississippi,2023-03-01,5889893.66
Newfoundland and Labrador,2022-11-01,4906496.40
