STATE,SALES_MONTH,STATE_PRICE
Arizona,2025-05-01,5.82892769
Florida,2025-03-01,5.83434333
West Virginia,2022-11-01,5.83603497
Oklahoma,2023-06-01,5.84245502
Oklahoma,2022-09-01,5.84285388
Saskatchewan,2022-12-01,5.84961134
Arizona,2025-08-01,5.85046622
Saskatchewan,2023-05-01,5.85350164
Massachusetts,2026-03-01,5.85396070
Florida,2023-05-01,5.85422310
Oklahoma,2023-04-01,5.85461849
Oklahoma,2023-05-01,5.85772294
Newfoundland and Labrador,2025-11-01,5.85948845
Nova Scotia,2024-09-01,5.86047170
Newfoundland and Labrador,2025-06-01,5.86289760
Newfoundland and Labrador,2025-12-01,5.86772213
Oklahoma,2022-11-01,5.87024512
Newfoundland and Labrador,2026-05-01,5.87027165
Oregon,2026-03-01,5.87984297
Florida,2025-05-01,5.88440257
Arizona,2025-06-01,5.89134360
Florida,2025-02-01,5.89375911
Texas,2025-03-01,5.89444444
Alberta,2025-05-01,5.90014015
Oklahoma,2023-10-01,5.90231112
Massachusetts,2025-09-01,5.91124900
Michigan,2026-01-01,5.91191356
Oklahoma,2023-07-01,5.91449567
Saskatchewan,2023-03-01,5.91450957
Oklahoma,2026-03-01,5.92374926
Newfoundland and Labrador,2025-05-01,5.93027397
Michigan,2025-12-01,5.93067377
Oklahoma,2025-10-01,5.93488903
Massachusetts,2025-11-01,5.93535042
Massachusetts,2025-12-01,5.93907664
Texas,2025-02-01,5.94103448
Massachusetts,2026-01-01,5.95155058
Michigan,2025-04-01,5.95754762
New York,2023-11-01,5.96099402
Newfoundland and Labrador,2026-04-01,5.96183986
Massachusetts,2025-10-01,5.96254662
Massachusetts,2026-02-01,5.96761673
West Virginia,2024-06-01,5.97728308
Saskatchewan,2022-11-01,5.98360395
Saskatchewan,2022-09-01,5.98378499
Saskatchewan,2024-11-01,5.99548506
Arizona,2025-11-01,5.99603270
Colorado,2023-03-01,5.99907317
Colorado,2023-07-01,5.99948592
Oregon,2026-01-01,6.00083382
California,2024-07-01,6.00345635
Arizona,2025-10-01,6.00398719
Massachusetts,2025-08-01,6.00431468
Florida,2023-01-01,6.00605817
Oregon,2026-04-01,6.00707562
Colorado,2023-02-01,6.00721236
California,2024-08-01,6.00933090
Oregon,2026-02-01,6.01310419
Oregon,2025-12-01,6.01662640
