STATE,SALES_MONTH,COUNT(    DISTINCT MASTER_ID)
Arkansas,2023-05-01,40
Ohio,2023-05-01,96
Yukon,2022-12-01,6
Connecticut,2024-02-01,39
Saskatchewan,2025-09-01,98
Florida,2025-09-01,726
Florida,2023-10-01,625
South Dakota,2023-05-01,47
West Virginia,2025-04-01,64
Nova Scotia,2023-12-01,13
Utah,2023-06-01,18
Nova Scotia,2025-05-01,17
Connecticut,2023-07-01,26
Virginia,2024-04-01,23
Virginia,2026-02-01,24
Nova Scotia,2022-10-01,12
Yukon,2024-04-01,6
Nunavut,2023-12-01,2
Iowa,2024-07-01,5
Rhode Island,2023-10-01,8
North Carolina,2025-11-01,1
Quebec,2023-12-01,1
California,2024-04-01,1495
Oklahoma,2026-02-01,995
Nevada,2024-02-01,115
California,2026-02-01,1409
Illinois,2025-09-01,260
Missouri,2022-12-01,196
Ontario,2024-01-01,1614
Arkansas,2026-02-01,37
Colorado,2024-09-01,708
Manitoba,2023-10-01,102
Connecticut,2023-08-01,27
Michigan,2024-09-01,824
Arkansas,2024-06-01,41
Arizona,2024-03-01,179
Arizona,2024-05-01,179
New Mexico,2023-07-01,540
Missouri,2024-11-01,208
Colorado,2025-04-01,681
Nevada,2023-09-01,113
Mississippi,2025-08-01,175
Puerto Rico,2024-02-01,299
Louisiana,2025-09-01,34
Missouri,2023-10-01,202
Illinois,2025-01-01,242
Vermont,2024-10-01,90
Illinois,2025-03-01,249
Montana,2024-01-01,381
South Dakota,2024-12-01,68
Vermont,2023-02-01,50
Mississippi,2024-10-01,165
Mississippi,2024-03-01,151
Minnesota,2025-06-01,69
Mississippi,2022-12-01,30
Utah,2026-02-01,18
Florida,2024-08-01,696
Alberta,2022-12-01,723
Illinois,2025-06-01,256
Maryland,2023-09-01,102
Maryland,2024-09-01,101
Alaska,2023-01-01,166
Pennsylvania,2023-03-01,180
Saskatchewan,2026-01-01,98
South Dakota,2024-09-01,67
New York,2024-05-01,226
Montana,2023-02-01,383
Yukon,2024-09-01,6
South Dakota,2024-06-01,67
Louisiana,2025-11-01,35
Florida,2026-01-01,736
Arkansas,2024-01-01,40
Oregon,2023-07-01,749
Saskatchewan,2025-03-01,101
Nevada,2023-10-01,114
District of Columbia,2025-01-01,33
