STATE,SALES_MONTH,TOTAL_DOLLARS
Illinois,2023-02-01,124519017.79
New Hampshire,2023-02-01,842477.63
Ontario,2023-02-01,157276143.98
Manitoba,2023-02-01,11698691.74
Florida,2023-02-01,143345556.09
Pennsylvania,2023-02-01,84906531.72
Northern Mariana Islands,2023-02-01,0.00
Yukon,2023-02-01,839350.84
District of Columbia,2023-02-01,3187010.91
Utah,2023-02-01,7593016.99
British Columbia,2023-02-01,58545161.19
California,2023-02-01,358315142.54
Hawaii,2023-02-01,3144380.76
Minnesota,2023-02-01,2476213.92
Alaska,2023-02-01,16946723.41
New Jersey,2023-02-01,41350659.92
Louisiana,2023-02-01,1807685.86
North Dakota,2023-02-01,1172361.76
Ohio,2023-02-01,38111017.63
Colorado,2023-02-01,126454134.58
Puerto Rico,2023-02-01,12279519.74
New Mexico,2023-02-01,42001025.61
Texas,2023-02-01,637723.50
West Virginia,2023-02-01,4890369.38
Mississippi,2023-02-01,4718837.74
Oklahoma,2023-02-01,123498295.08
Nunavut,2023-03-01,830456.89
Hawaii,2023-03-01,3109134.88
New Hampshire,2023-03-01,985019.80
Missouri,2023-03-01,127317058.27
District of Columbia,2023-03-01,3024737.85
Pennsylvania,2023-03-01,90070412.30
Arkansas,2023-03-01,23498936.28
Rhode Island,2023-03-01,4495419.42
South Dakota,2023-03-01,3195715.63
Yukon,2023-03-01,982998.06
Delaware,2023-03-01,3100612.60
Texas,2023-03-01,792650.65
Mississippi,2023-03-01,5894965.30
Oklahoma,2023-03-01,127541204.28
New Mexico,2023-03-01,48202931.95
Arizona,2023-03-01,128186130.45
Colorado,2023-03-01,141513204.45
Nova Scotia,2023-03-01,31989.31
Northern Mariana Islands,2023-03-01,0.00
Montana,2023-03-01,27854879.74
Utah,2023-03-01,8235455.23
Nevada,2023-03-01,66900192.28
Iowa,2023-03-01,1257791.83
Florida,2023-03-01,151528052.49
Ohio,2023-03-01,42304682.76
Ontario,2023-03-01,177139681.45
New Brunswick,2023-03-01,3070067.28
New York,2023-03-01,14189631.79
New Jersey,2023-03-01,45134335.03
Washington,2023-03-01,75957158.01
Vermont,2023-03-01,8065086.75
Virginia,2023-03-01,9571432.67
Maryland,2023-03-01,42561627.99
South Carolina,2023-03-01,0.00
Saskatchewan,2023-03-01,12497499.36
British Columbia,2023-03-01,64860376.65
West Virginia,2023-03-01,4949271.87
North Dakota,2023-03-01,1325192.37
Puerto Rico,2023-03-01,19737165.91
Newfoundland and Labrador,2023-03-01,4132953.14
California,2023-03-01,397637103.23
Oregon,2023-03-01,85008224.13
Manitoba,2023-03-01,13542255.28
